"","snp","chr","pos","p"
"3149","rs46424895",2,103490497,0.0283814524244144
"3150","rs260525176",19,6643664,0.0283817534467601
"3151","cfw-2-54536432",2,54536432,0.0284024097558617
"3152","rs27011913",11,86756839,0.0284145777184504
"3153","cfw-17-25425926",17,25425926,0.0284309149277744
"3154","rs261711006",11,79215792,0.0284335539197866
"3155","rs26892577",11,68259800,0.0284404161799879
"3156","rs46223341",9,79592366,0.0284550002208906
"3157","rs39355793",8,91363167,0.028455858997302
"3158","rs48567661",9,110886773,0.02846200159138
"3159","rs6152809",13,45528520,0.0284706702912534
"3160","rs260396458",19,18101085,0.0284803961913128
"3161","cfw-8-10127109",8,10127109,0.0284827470901333
"3162","rs256068649",17,89049784,0.0285005346182134
"3163","cfw-17-5906499",17,5906499,0.0285147163938042
"3164","rs50394361",11,60025505,0.028531826699014
"3165","rs27647982",2,180973032,0.028539936651627
"3166","rs28171067",4,103027916,0.0285493165300045
"3167","rs27957351",2,68670795,0.0285632583217317
"3168","rs249719114",9,97210460,0.0285775663256024
"3169","rs27846162",4,44469714,0.0285997613446464
"3170","rs108033422",6,145479053,0.0286028269138542
"3171","rs51170085",14,71660146,0.0286122158468593
"3172","rs249383440",18,41881904,0.028622022984801
"3173","rs8254830",9,36768238,0.0286310865081499
"3174","rs50814515",15,34432429,0.0286396076989815
"3175","cfw-6-84120603",6,84120603,0.0286603917129562
"3176","rs244637227",17,3479853,0.0286662282102688
"3177","rs242657595",9,92756173,0.0286674182646274
"3178","rs51843576",14,121749862,0.0286693527552413
"3179","rs260802758",2,66229163,0.0286884568069741
"3180","rs50149599",12,117632228,0.0287064843008443
"3181","rs29926040",6,8748306,0.0287213000762932
"3182","rs30844160",3,21565754,0.0287279052106962
"3183","rs31218011",15,68133514,0.0287339430119021
"3184","rs250495723",12,117863968,0.028737051386008
"3185","rs243458975",10,6305535,0.0287420380000937
"3186","cfw-12-51510235",12,51510235,0.0287460571867906
"3187","cfw-14-104755556",14,104755556,0.0287613613345054
"3188","rs32986444",15,30608512,0.0287741031564686
"3189","rs33401560",2,93025111,0.0287835671857961
"3190","rs249206118",14,33273184,0.0288078707749435
"3191","cfw-1-153134601",1,153134601,0.0288324464790126
"3192","rs248028278",11,32166405,0.0288371617190885
"3193","rs29819353",5,123897136,0.0288406737448736
"3194","rs27176685",2,30616542,0.0288431011953047
"3195","rs27366082",2,154370823,0.0288843210191858
"3196","rs30308542",18,67405271,0.0289002208669911
"3197","rs51869953",1,156259722,0.0289099343914416
"3198","rs33638678",17,4222359,0.0289451420151289
"3199","rs51009489",17,74855172,0.0289627311040891
"3200","rs244482786",11,113038663,0.0289691205159433
"3201","cfw-11-3958703",11,3958703,0.0289745259697258
"3202","rs215818634",6,138629735,0.0289846262390356
"3203","rs47051832",17,75386770,0.0289986533096942
"3204","rs214646712",12,19175641,0.0290130767938997
"3205","rs245155711",1,151854478,0.0290243947539955
"3206","rs29484601",12,112396007,0.0290365970397384
"3207","cfw-12-118038312",12,118038312,0.0290387728907821
"3208","rs48798292",1,153569144,0.029049285552135
"3209","cfw-7-99366578",7,99366578,0.0291086174964821
"3210","rs248728943",19,17427761,0.0291144439499381
"3211","rs258325667",19,3648001,0.0291225317174946
"3212","rs29157045",12,16870967,0.0291532261775882
"3213","rs51176178",3,29043954,0.0291767805136899
"3214","rs237160132",19,17427755,0.0291908368249744
"3215","rs52574385",13,17999394,0.0292023217234126
"3216","rs220677989",11,98457965,0.029215549629311
"3217","rs37553850",19,4455437,0.0292191185720251
"3218","rs218659813",19,6601266,0.0292203107772544
"3219","rs27074764",11,99670305,0.0292332173104387
"3220","cfw-4-58461777",4,58461777,0.0292381214740068
"3221","cfw-6-41942890",6,41942890,0.0292499233928335
"3222","cfw-5-53781999",5,53781999,0.0292537056116032
"3223","rs32905283",2,97466529,0.0292766622765289
"3224","rs246272754",3,96889887,0.0293138076407132
"3225","rs3694597",4,139082668,0.0293146044532779
"3226","cfw-7-44915569",7,44915569,0.0293176711200818
"3227","rs27368883",2,92525189,0.0293382906928557
"3228","rs48302432",6,83256205,0.0293456062528953
"3229","rs33544211",17,74690765,0.0293596993854928
"3230","rs36805260",19,14784820,0.0293743569468184
"3231","rs29730301",13,4217189,0.0293945446935554
"3232","rs29524337",17,46117682,0.0294102833589533
"3233","rs32072311",15,11878276,0.0294141262978612
"3234","rs251222769",11,79107054,0.0294337489791537
"3235","rs228751701",3,95755149,0.0294768358482682
"3236","rs6219915",11,105018549,0.0294769951808937
"3237","rs29434056",11,71681513,0.0294799340770836
"3238","cfw-9-108837221",9,108837221,0.0295079273411779
"3239","rs237770718",9,101912309,0.0295144640042906
"3240","rs254742411",5,25117940,0.0295181798417967
"3241","rs49574207",1,185400624,0.0295217112886897
"3242","rs37409924",6,103224369,0.0295293022481531
"3243","rs30736697",14,39510044,0.0295425434482622
"3244","rs256935427",12,117953907,0.0295556397444912
"3245","cfw-12-65083646",12,65083646,0.0295606669266917
"3246","rs52124310",17,73745236,0.0295614275695626
"3247","rs108573075",17,88996197,0.0295674741300692
"3248","rs255630805",2,96437546,0.029576529105598
"3249","rs46142445",3,27658674,0.0296049307270365
"3250","rs31193271",5,40689681,0.0296065884889942
"3251","rs51759925",5,25727595,0.0296109471205381
"3252","rs29412286",11,62127425,0.0296175704242976
"3253","rs46648603",1,181864661,0.0296191389710493
"3254","rs45812057",2,50014116,0.0296237574800624
"3255","rs108447847",15,86461950,0.0296332232094338
"3256","rs38892943",6,83652478,0.0296396669449856
"3257","rs36464426",8,126751917,0.0296615438310676
"3258","rs29772550",2,24139510,0.0297125637726478
"3259","rs33133076",5,25272393,0.0297218058434265
"3260","rs27435826",2,124988168,0.0297298304603381
"3261","cfw-15-86072240",15,86072240,0.029733696253302
"3262","rs28209097",11,82890726,0.0297480388377423
"3263","rs241130031",4,44608325,0.0297497332401935
"3264","rs33591460",8,72997409,0.0297830552048741
"3265","cfw-11-10415547",11,10415547,0.0297957505409328
"3266","cfw-18-25465240",18,25465240,0.0297978473763505
"3267","rs32216343",14,79024151,0.0297978994829661
"3268","rs234910916",2,85526094,0.0298042177839408
"3269","rs227137177",13,97427608,0.0298130036899903
"3270","rs51496871",2,89554656,0.0298362378862596
"3271","rs27562265",4,138562850,0.0298389681282284
"3272","rs108413210",1,151893154,0.0298442230489286
"3273","rs30753982",6,82131807,0.029848817212976
"3274","rs31234151",1,151893115,0.029851539128137
"3275","rs13482589",15,54901367,0.0298638788914932
"3276","rs31010430",19,56190630,0.0298684426277018
"3277","rs48975643",4,46999019,0.0298736272134679
"3278","rs218501608",4,46997949,0.0298848710543761
"3279","rs255285710",15,85489420,0.0298860904672936
"3280","cfw-10-31543123",10,31543123,0.0298860983153749
"3281","rs240624511",6,94219132,0.0298864592564547
"3282","rs33663918",5,126916667,0.0298898216549409
"3283","rs28245383",2,165364096,0.0298949735949174
"3284","rs33076268",4,154539849,0.0299013682006321
"3285","cfw-6-131646649",6,131646649,0.0299054612659807
"3286","rs6152791",18,60945718,0.0299085356147569
"3287","rs226780967",14,92844136,0.0299310881975541
"3288","rs31789349",15,84952415,0.0299505402153059
"3289","rs48325579",12,39561731,0.0299811586152826
"3290","cfw-9-72904080",9,72904080,0.0299937957978398
"3291","cfw-18-78801928",18,78801928,0.0300048150053759
"3292","cfw-2-166307286",2,166307286,0.0300051728777116
"3293","rs28334366",2,106775143,0.030006967867967
"3294","rs221637006",15,36043023,0.0300088657945807
"3295","cfw-5-50117820",5,50117820,0.0300217506831153
"3296","rs32012398",5,24419718,0.0300288849184512
"3297","rs29480829",11,117154632,0.0300343132201182
"3298","rs243871761",1,172189104,0.0300370276777529
"3299","rs107921006",6,82057526,0.0300434957639732
"3300","rs26889158",11,73186445,0.0300543380516299
"3301","rs45885643",12,78957633,0.0300633572281791
"3302","rs222708950",11,60449978,0.0300703954356654
"3303","rs51804521",14,16325497,0.0300761438014994
"3304","rs30703075",1,37229945,0.0300823254738403
"3305","rs212676580",5,23180533,0.0300928079962116
"3306","rs30118267",6,8824935,0.0301228040898508
"3307","rs245139446",1,35662306,0.0301249987146404
"3308","cfw-1-39680203",1,39680203,0.0301268778705269
"3309","cfw-2-12860506",2,12860506,0.0301325291208913
"3310","cfw-19-6998473",19,6998473,0.0301394440211833
"3311","rs260753055",18,88485911,0.030149381146044
"3312","rs31236326",14,98514261,0.0301585257783128
"3313","rs108870760",17,86969816,0.0301774213901137
"3314","cfw-9-107168700",9,107168700,0.0301818347294006
"3315","rs29733362",9,34713637,0.030183146149537
"3316","cfw-2-96645698",2,96645698,0.0301954403312196
"3317","rs3142544",7,30506644,0.0302005651147455
"3318","rs29430053",11,74611092,0.030200825629795
"3319","rs50552166",8,91818503,0.0302008710007983
"3320","rs249787346",6,82523858,0.0302030799303482
"3321","rs31937911",12,57845686,0.030222706571263
"3322","rs49754779",9,17548718,0.0302305147881038
"3323","rs261008771",12,61871912,0.0302447579743332
"3324","rs227287314",17,46520862,0.0302455035824448
"3325","rs31599317",1,173490349,0.0302709972197342
"3326","rs29536197",17,3887529,0.0302757504876481
"3327","rs46164647",7,136437107,0.0302810460881061
"3328","rs51671317",13,11587914,0.03029120218478
"3329","rs215597791",14,82586326,0.0303092930762782
"3330","rs50948249",6,83612660,0.0303286883773073
"3331","rs31174563",1,152996946,0.0303410308313406
"3332","rs220600956",7,19585381,0.0303451796546609
"3333","rs49381589",15,80146497,0.0303486923232288
"3334","rs33242893",17,72624225,0.0303492607671334
"3335","rs49226519",7,16200457,0.0303639283295029
"3336","rs37163915",7,16947302,0.0303823237332037
"3337","rs46693754",11,59860703,0.0303916970245559
"3338","rs230482157",9,98445281,0.0304080182788789
"3339","cfw-2-180268021",2,180268021,0.030418640146898
"3340","rs36609894",5,25078325,0.030470304595923
"3341","cfw-9-119148509",9,119148509,0.0304740694999433
"3342","rs51619291",2,179709562,0.030474294724799
"3343","cfw-12-30057340",12,30057340,0.0304801349622496
"3344","rs249811479",1,78460635,0.030482371693269
"3345","rs38960828",18,79953820,0.0304897292670333
"3346","cfw-8-110642236",8,110642236,0.0305181990125032
"3347","rs31016518",14,97570648,0.0305401702087634
"3348","rs250118477",13,113064940,0.0305437689926019
"3349","rs225207160",6,116323650,0.0305526832779652
"3350","rs261715746",18,57335645,0.0305596665351038
"3351","rs260825356",9,34759673,0.030570931188079
"3352","rs262408111",11,26946437,0.0306098763036885
"3353","rs37084067",19,7534041,0.0306169527097909
"3354","rs32818161",8,122700458,0.0306564983082563
"3355","rs27861212",4,44462083,0.0307059815330482
"3356","rs220954336",15,85892193,0.0307074123726586
"3357","rs108615917",17,36196305,0.0307500205034668
"3358","rs48730333",1,151777225,0.0307601819718589
"3359","rs36573349",15,98125196,0.0307738324687942
"3360","rs229613903",5,48831382,0.0308055741848841
"3361","cfw-2-165538956",2,165538956,0.0308102090176395
"3362","rs260338038",7,15934950,0.0308366691738797
"3363","rs29818936",5,63948903,0.0308447174496916
"3364","rs229923959",1,151222800,0.0308463421838798
"3365","rs243435339",9,28080822,0.030855096247127
"3366","cfw-12-66018324",12,66018324,0.0308820785254098
"3367","rs30410930",6,49037093,0.030884398692824
"3368","rs218241198",4,139114171,0.0308849827067123
"3369","rs253871360",5,76713878,0.0308910744261487
"3370","rs251670735",6,99483386,0.0309192309721465
"3371","cfw-3-60569488",3,60569488,0.0309313796414149
"3372","rs26887800",11,72786924,0.0309389840212667
"3373","rs50521311",3,69518108,0.0309507090404876
"3374","rs36715489",19,40411422,0.0309597576551876
"3375","rs51915912",11,99272621,0.030964247146218
"3376","rs45862681",8,91745010,0.0309799895973136
"3377","rs224523326",2,97717739,0.0309859687500708
"3378","cfw-17-34263281",17,34263281,0.030990253579938
"3379","rs236992311",11,99322166,0.0309920559421891
"3380","rs32535611",1,154074431,0.0310062296112183
"3381","rs220030841",8,97425846,0.0310118744919362
"3382","rs263245563",5,128719036,0.0310152519277141
"3383","cfw-4-109127120",4,109127120,0.0310223229023723
"3384","rs30602008",14,104785279,0.0310411930185325
"3385","rs29769089",13,107277670,0.0310412927093649
"3386","cfw-2-128326238",2,128326238,0.0310528220634372
"3387","rs51983043",6,18116301,0.031055694633249
"3388","rs26984128",11,121616429,0.0310589670929201
"3389","rs38414790",1,20901955,0.031109616126404
"3390","cfw-19-4037933",19,4037933,0.0311148962607432
"3391","rs257387011",14,70254839,0.0311182011796356
"3392","cfw-5-22617026",5,22617026,0.0311213747935642
"3393","rs251704260",17,33777545,0.0311381300210011
"3394","rs31962220",15,34116432,0.0311449263316161
"3395","rs27393707",2,103701381,0.0311527365926497
"3396","cfw-12-67029991",12,67029991,0.0311576429385541
"3397","rs261577916",13,15792747,0.0311584629743705
"3398","rs30212682",14,98514281,0.0311829147443741
"3399","rs50143429",13,107684472,0.0311850551967103
"3400","rs3143736",2,106351839,0.0311886833360842
"3401","rs243695659",12,66560497,0.0311912654210915
"3402","rs50103918",15,62738190,0.0311985465444388
"3403","rs46858504",2,106351819,0.0312053356331867
"3404","rs237729645",2,16186806,0.031216260252831
"3405","rs4136057",5,103720156,0.0312232513911932
"3406","rs52379653",19,6654848,0.0312306056963262
"3407","rs32880027",4,139481638,0.0312470108377776
"3408","rs221155579",11,28655329,0.0312483118472465
"3409","cfw-5-151020142",5,151020142,0.031259340299027
"3410","rs252727927",13,12312569,0.0312596574270084
"3411","rs46183607",11,35126443,0.0312977517607183
"3412","rs6322850",2,15763138,0.0313079021673043
"3413","rs50423524",5,27839849,0.0313295278816144
"3414","rs29208611",12,100832709,0.0313355252162106
"3415","rs233001176",19,41336267,0.0313465807097412
"3416","cfw-1-99127483",1,99127483,0.0313522031570198
"3417","rs33285398",9,110491468,0.0313595288359903
"3418","rs251943036",8,70624704,0.0313596238243794
"3419","rs45753104",10,99699649,0.0313647436282121
"3420","rs51919033",15,95700774,0.031369565620208
"3421","rs13462598",10,127167101,0.031378110138024
"3422","rs28297218",4,13912152,0.031398973604323
"3423","rs49432294",12,16755487,0.0314077634515104
"3424","rs50449278",7,45828946,0.031412992687072
"3425","rs107801959",1,23769114,0.0314189965739697
"3426","rs259007005",4,139271478,0.031435594314766
"3427","rs49671167",15,33801740,0.0314791134723299
"3428","rs48958513",1,39698822,0.0314881487177394
"3429","rs240652636",18,79069909,0.0314926631507534
"3430","rs26942665",11,59368042,0.0314965321202931
"3431","cfw-17-63230686",17,63230686,0.0314991457206976
"3432","rs45708785",6,106724321,0.0315087962204899
"3433","rs31204104",1,152514284,0.031531051546291
"3434","rs33629156",17,4516436,0.0315721376835055
"3435","rs232166116",7,41915531,0.0315799122002044
"3436","rs48818014",13,57812239,0.0315830872965404
"3437","rs29415649",11,44003350,0.0315924773903381
"3438","rs45968143",12,14887934,0.0315960980793806
"3439","rs226505108",3,97040937,0.0316326037457985
"3440","rs221177825",15,74546960,0.0316330214129717
"3441","rs51802179",14,118546247,0.0316601745669398
"3442","rs235283330",11,68001544,0.031680830792913
"3443","cfw-8-86880650",8,86880650,0.0316864025870224
"3444","rs33834520",13,15130184,0.0316873104065577
"3445","rs31501857",1,93577194,0.0316916027414938
"3446","rs46118020",11,99420762,0.0316942911304623
"3447","rs29481998",11,35599544,0.031716056914017
"3448","cfw-7-19035516",7,19035516,0.0317368214621133
"3449","rs216419571",11,60490624,0.0317388256402881
"3450","rs33117237",9,96878388,0.0317409926958245
"3451","rs26941639",11,60033873,0.0317497989790068
"3452","rs8239435",6,34310261,0.0317565308388218
"3453","rs27071079",11,98364049,0.031767602379051
"3454","rs32049820",15,86365157,0.0317680426451164
"3455","rs30638591",1,153919055,0.0317777003862923
"3456","rs31905745",1,21690776,0.0317910348034728
"3457","rs48637961",9,35463736,0.0318022007394758
"3458","rs213603130",9,101940295,0.0318055890901722
"3459","rs31246693",19,57976215,0.0318164713003738
"3460","cfw-8-15741956",8,15741956,0.0318364746123041
"3461","rs37617091",6,82318531,0.0318497997284612
"3462","rs33386066",2,106762884,0.031850055670347
"3463","rs26986984",11,59817971,0.0318613251720122
"3464","rs3661621",11,98294496,0.0318651720748727
"3465","rs227441487",2,90010285,0.0318709821878207
"3466","rs33393829",8,122768968,0.0318895412113354
"3467","rs26863182",11,18722644,0.0318898623248022
"3468","rs31167948",1,153150713,0.0318992772682031
"3469","rs36764790",5,64367857,0.0319095643828437
"3470","rs32810570",1,32560570,0.0319189054365831
"3471","cfw-3-114066040",3,114066040,0.0319336290592891
"3472","rs216151035",13,5988716,0.031940067538192
"3473","rs47383985",19,25140005,0.0319607254728955
"3474","rs50544916",12,32339582,0.0319651163326941
"3475","rs31067051",1,145069312,0.0319675314688108
"3476","rs29763489",5,118955704,0.0319951821753829
"3477","rs33347585",9,112215347,0.031997147832089
"3478","cfw-17-5906484",17,5906484,0.0320054897590316
"3479","rs3660555",12,25415827,0.0320208790706354
"3480","rs51687791",1,153569165,0.0320331656063677
"3481","rs31965916",1,21690793,0.032036832610725
"3482","rs227053677",7,35927028,0.032050248840771
"3483","rs49957966",11,59794988,0.03205026782665
"3484","rs235777727",5,40743088,0.0320504240302156
"3485","cfw-12-93033577",12,93033577,0.0320775042917061
"3486","rs239507851",11,81007792,0.0321034850692974
"3487","cfw-15-78654543",15,78654543,0.0321421552362275
"3488","rs28334355",2,106776376,0.0321892843608094
"3489","rs30677267",1,75789254,0.0321937916197729
"3490","rs233837675",4,123584759,0.0321938613223065
"3491","rs29582660",18,62114783,0.0322364758460098
"3492","rs6306040",18,62793979,0.0322408380395514
"3493","rs251014700",1,33758778,0.032244212758404
"3494","rs31210068",1,152382093,0.0322754972986906
"3495","rs47086391",12,51323647,0.0322792792156137
"3496","rs32672518",1,35468259,0.0322823386912324
"3497","rs47337871",16,35691243,0.0322853051605204
"3498","rs30903188",6,8778049,0.0323057688014011
"3499","rs33155345",15,34591498,0.0323146033456013
"3500","rs47796694",13,18142288,0.0323220343956787
"3501","cfw-13-71104866",13,71104866,0.0323240210154286
"3502","cfw-14-77384226",14,77384226,0.0323299182822202
"3503","rs32166178",1,154074473,0.0323321916397509
"3504","rs37019537",6,31119572,0.0323639027267717
"3505","rs217240343",19,6955624,0.0323643348782081
"3506","rs33605189",2,172808325,0.0323681793645042
"3507","rs29325443",10,127107856,0.0323694949229431
"3508","rs238936880",14,121724602,0.0323791664651908
"3509","rs33400694",17,62646938,0.0323819690688758
"3510","rs239346679",9,95672099,0.0323944669702663
"3511","rs248194178",4,123584761,0.0323948189706827
"3512","rs32314613",14,93629361,0.0323954813341264
"3513","rs212440535",12,32322233,0.0324201542134591
"3514","rs36794071",6,34286670,0.0324239897482243
"3515","rs29965517",6,6684040,0.0324341299805931
"3516","rs29452969",11,68530620,0.0324369915478342
"3517","rs245420670",9,98864948,0.0324514288913316
"3518","cfw-14-104676993",14,104676993,0.03245661873947
"3519","rs252497534",9,12252775,0.0324810564858178
"3520","rs50143687",2,101425478,0.0324829096851152
"3521","rs223878391",17,3294195,0.0324840893330979
"3522","cfw-1-179432952",1,179432952,0.0324845721106699
"3523","rs30952536",6,8743985,0.0324895142413666
"3524","rs213610475",1,39506814,0.0324990473317404
"3525","rs48242919",11,28198422,0.0325071653644091
"3526","rs108100070",1,173643987,0.0325109744306528
"3527","rs256113788",2,124958213,0.032512418597688
"3528","rs223971362",4,46998579,0.0325182300184028
"3529","rs237529715",11,34378913,0.0325260022135941
"3530","rs46564065",7,136437054,0.0325273715922711
"3531","rs48038165",17,35246711,0.0325418172062187
"3532","rs261049553",9,110855607,0.0325530225256586
"3533","rs27953011",2,48457452,0.0325903230186278
"3534","rs263980108",13,97033581,0.0326139208442899
"3535","rs231789971",2,30872734,0.0326194790403112
"3536","rs29782123",5,112294664,0.0326301778835992
"3537","rs33572032",3,20176770,0.0326314869481644
"3538","rs6388221",6,138436895,0.0326379916222859
"3539","rs31390810",14,77823644,0.0326482132120604
"3540","cfw-7-121124248",7,121124248,0.0326521942268709
"3541","rs31783746",4,46919505,0.0326680970452918
"3542","rs49234719",7,139652146,0.0326697387443617
"3543","cfw-12-112727140",12,112727140,0.0326718378609794
"3544","rs3674968",1,153233497,0.0326772357052944
"3545","rs28165662",4,108672333,0.0326941834806419
"3546","rs225763843",12,66054416,0.0327588889899352
"3547","rs215353186",15,7907948,0.0327604344286284
"3548","rs47741935",12,87280087,0.0327973864951627
"3549","cfw-17-25861189",17,25861189,0.0327979039167896
"3550","rs47964074",17,75624595,0.032802211420444
"3551","rs47098530",18,65835759,0.032808634812293
"3552","rs48298608",8,123209178,0.032808789697713
"3553","rs251844975",5,25156322,0.0328121194955831
"3554","rs30547918",13,117202915,0.0328125591402907
"3555","rs46343487",11,116715191,0.0328160744926443
"3556","rs31229477",1,151916998,0.0328339066654411
"3557","rs36507787",12,11350449,0.032845486773494
"3558","cfw-18-77796429",18,77796429,0.0328502953288891
"3559","rs218127231",8,79133279,0.0328819160662062
"3560","cfw-7-119156103",7,119156103,0.0328966260619025
"3561","rs31085521",1,19767753,0.0329122378848429
"3562","rs49029667",12,117631850,0.0329198991060562
"3563","rs212933927",10,30663689,0.0329414608560121
"3564","rs47426179",13,117202950,0.03294195931138
"3565","rs51670777",9,100033477,0.0329437454467478
"3566","rs30014707",6,48953196,0.0329443115175624
"3567","rs217963057",6,48936115,0.0329528593627448
"3568","rs49774437",6,68591245,0.0329603526597039
"3569","rs33228317",5,75772659,0.032961543747276
"3570","rs48022698",14,96883559,0.0329723192223917
"3571","rs30103920",14,104188411,0.0329976431813329
"3572","rs36641273",6,48953207,0.0330292789777216
"3573","rs248870678",1,39679976,0.0330299974350671
"3574","rs32695824",15,7611958,0.0330311815085488
"3575","rs212927393",1,185128301,0.0330345119466715
"3576","rs255977738",6,48956951,0.033057276176995
"3577","cfw-17-66590434",17,66590434,0.0330577397460728
"3578","rs243414785",13,12023314,0.0330596695697409
"3579","rs239588901",3,3552001,0.0330628498077464
"3580","rs51696384",1,153572505,0.0330702604052848
"3581","rs37872089",3,117442411,0.0331023577257648
"3582","cfw-1-152944562",1,152944562,0.0331119819348007
"3583","rs216204396",1,136748863,0.0331137832858939
"3584","rs30554009",3,31895229,0.0331208923335778
"3585","rs28165663",4,108672285,0.0331412891040642
"3586","rs48129531",11,112684693,0.0331436147622922
"3587","rs214197482",5,24362336,0.0331481422684945
"3588","rs48451780",8,124376889,0.0331487757247918
"3589","rs242211723",4,111616968,0.0331685326549149
"3590","rs37476422",9,34939799,0.0331718022617239
"3591","rs31167810",1,153136850,0.0331786943496041
"3592","cfw-6-48953132",6,48953132,0.033193582924758
"3593","rs29612028",1,194895368,0.033233368107998
"3594","rs27520821",4,128616581,0.033241846920954
"3595","rs221041385",2,12816547,0.0332784711110776
"3596","rs29214206",12,7819369,0.0332922720468618
"3597","rs32912191",2,173581301,0.0333003799360321
"3598","rs244841047",6,48957408,0.0333206283039576
"3599","rs27384549",2,91876285,0.0333331665362065
"3600","rs223192651",10,80879007,0.0333377079543401
"3601","rs29437253",11,98474688,0.0333399348149181
"3602","rs28165866",4,109255123,0.0333433320751273
"3603","rs107771480",17,3611380,0.0333485304846556
"3604","rs243568699",2,124954872,0.0333570405467465
"3605","rs29573173",2,106762885,0.0333638392262471
"3606","rs211742772",2,124954847,0.0333695824701729
"3607","rs249538273",12,118052566,0.0333797057667366
"3608","rs30905311",6,83655445,0.0333931131247515
"3609","rs33557917",3,20012845,0.0333961033267382
"3610","rs48727787",6,145697144,0.0334059829933217
"3611","rs32938490",2,91055728,0.0334211958492442
"3612","rs32032359",5,24274908,0.0334252906352305
"3613","rs50982312",14,76747209,0.0334292390456269
"3614","rs221714750",3,20199678,0.0334533887428913
"3615","cfw-12-112787788",12,112787788,0.0334575862209942
"3616","rs221791636",4,127035224,0.0334576245453662
"3617","rs50956731",13,45025753,0.0334742000053462
"3618","rs227676098",17,14818215,0.0335056994530513
"3619","rs32006912",5,24590575,0.0335568402494063
"3620","cfw-2-119898450",2,119898450,0.033571569192007
"3621","rs33654071",17,3582479,0.0335754696513296
"3622","rs31908814",8,124550699,0.0335826664832437
"3623","rs33375187",5,76709338,0.0335901735972008
"3624","cfw-4-28813357",4,28813357,0.0335920494291421
"3625","rs251417959",2,32735403,0.0335970139936313
"3626","rs108356648",17,45836098,0.0335974768867337
"3627","rs48059761",7,50322097,0.0336017116693352
"3628","rs46592067",14,38177329,0.033620624106373
"3629","rs4228549",18,30495047,0.0336303368776976
"3630","rs49326026",11,35278227,0.0336371562456889
"3631","rs232816164",1,179041992,0.0336433069816359
"3632","rs36591625",19,44584170,0.0336860934080156
"3633","rs29660137",17,52617344,0.033688539180691
"3634","rs225616518",5,24942938,0.0337050228990649
"3635","rs29372824",10,5550718,0.0337068062670201
"3636","rs27268682",2,135548767,0.0337068886608719
"3637","rs38378150",10,32089975,0.033710604666154
"3638","rs46843085",17,34546617,0.0337270627740079
"3639","rs245512105",1,185020312,0.033733150859479
"3640","rs216935903",14,100097474,0.0337360543093912
"3641","rs47487517",15,26219739,0.0337572760204504
"3642","rs251915649",8,72665319,0.0337588866663556
"3643","rs48219549",7,43964800,0.0337612807706887
"3644","cfw-19-43879387",19,43879387,0.0337669332254358
"3645","cfw-4-24631247",4,24631247,0.0337672409497279
"3646","rs32273723",18,55468414,0.0337690054924938
"3647","rs108735527",17,3604222,0.0337752820217382
"3648","rs33379282",5,63948930,0.0337758501080728
"3649","rs223142429",11,101924161,0.0338084322826445
"3650","rs217056552",11,121180701,0.0338216313347685
"3651","rs220835133",12,107980368,0.0338368539057795
"3652","rs51467667",11,63518564,0.0338819146267299
"3653","rs222175708",11,59702923,0.0338836006159574
"3654","rs29510823",2,116397122,0.0338912619521614
"3655","cfw-7-134298163",7,134298163,0.0339116818596264
"3656","rs228336014",13,24683299,0.0339229041539782
"3657","cfw-1-35427747",1,35427747,0.0339373889355326
"3658","rs49351905",1,191582937,0.0339405394454685
"3659","rs212826304",12,28610051,0.0339425594529163
"3660","rs31497476",1,121285141,0.0339649576005635
"3661","rs36912414",14,103910822,0.0339667304281949
"3662","rs50356805",18,56774968,0.0339957083716582
"3663","rs27366476",2,93107547,0.033999183209011
"3664","rs254969619",11,98167236,0.0340047010212619
"3665","cfw-2-14856375",2,14856375,0.0340061097808331
"3666","cfw-13-93932582",13,93932582,0.0340244365465937
"3667","rs27589708",4,131863081,0.0340397624045414
"3668","rs13462165",3,102145621,0.0340431695316595
"3669","rs108082291",12,65401461,0.0340510188594456
"3670","rs51690677",14,84722003,0.0340596201957162
"3671","cfw-19-55135391",19,55135391,0.0340599615541247
"3672","rs50627029",7,113306442,0.0340741061423482
"3673","rs37776528",3,98071507,0.03407995079331
"3674","rs37971071",14,10888443,0.0340888050909577
"3675","rs46717532",15,36456314,0.0340914577364207
"3676","cfw-6-82725462",6,82725462,0.0340973775075761
"3677","rs231762271",4,119320969,0.0340993287323371
"3678","rs220478995",2,68443771,0.0340993442094014
"3679","rs29543569",5,26755219,0.0341035789300728
"3680","cfw-1-92227757",1,92227757,0.034110329741887
"3681","rs33182646",17,74024913,0.0341838781157106
"3682","cfw-7-68291149",7,68291149,0.0341886134867855
"3683","cfw-19-3991051",19,3991051,0.034192441047173
"3684","cfw-2-23847734",2,23847734,0.0342034603030844
"3685","rs47089755",18,28851640,0.0342264246527511
"3686","rs263809993",4,139036502,0.0342341890805274
"3687","rs33722889",10,26484513,0.0342514065259234
"3688","rs246981177",5,24210716,0.0342577563252201
"3689","rs219826365",2,86823446,0.0342714771582661
"3690","rs247102032",5,23602190,0.0342719624436882
"3691","rs258450779",14,99130021,0.0342740202536166
"3692","rs28282497",2,158833324,0.0342773343125765
"3693","rs32891300",2,87176930,0.0342788018254241
"3694","rs211862605",6,33587856,0.0342887199386777
"3695","rs46951261",2,50261563,0.0343049429434
"3696","rs108488355",17,76220753,0.0343084037896261
"3697","rs27397261",2,94360114,0.0343244746655395
